"timestamp_utc","endpoint","http_status","outcome","elapsed_ms"
"2026-08-01T09:39:28.0116320Z","/ready","200","success","15"
"2026-08-01T09:39:28.0116320Z","/health","200","success","15"
"2026-08-01T09:39:28.0266511Z","/ready","200","success","15"
"2026-08-01T09:39:28.0266511Z","/health","200","success","15"
"2026-08-01T09:39:28.0423560Z","/ready","200","success","15"
"2026-08-01T09:39:28.0423560Z","/health","200","success","16"
"2026-08-01T09:39:28.0574385Z","/ready","200","success","15"
"2026-08-01T09:39:28.0574385Z","/health","200","success","15"
"2026-08-01T09:39:28.0724015Z","/ready","200","success","15"
"2026-08-01T09:39:28.0724015Z","/health","200","success","15"
"2026-08-01T09:39:28.0884601Z","/ready","200","success","16"
"2026-08-01T09:39:28.0884601Z","/health","200","success","16"
"2026-08-01T09:39:28.1044602Z","/ready","200","success","16"
"2026-08-01T09:39:28.1044602Z","/health","200","success","16"
"2026-08-01T09:39:28.1198385Z","/ready","200","success","15"
"2026-08-01T09:39:28.1198385Z","/health","200","success","15"
"2026-08-01T09:39:28.1347453Z","/ready","200","success","14"
"2026-08-01T09:39:28.1347453Z","/health","200","success","15"
"2026-08-01T09:39:28.1500627Z","/ready","200","success","15"
"2026-08-01T09:39:28.1500627Z","/health","200","success","15"
"2026-08-01T09:39:28.1672193Z","/ready","200","success","17"
"2026-08-01T09:39:28.1672193Z","/health","200","success","17"
"2026-08-01T09:39:28.1804810Z","/ready","200","success","15"
"2026-08-01T09:39:28.1804810Z","/health","200","success","15"
"2026-08-01T09:39:28.1951820Z","/ready","200","success","14"
"2026-08-01T09:39:28.1951820Z","/health","200","success","15"
"2026-08-01T09:39:28.2108001Z","/ready","200","success","15"
"2026-08-01T09:39:28.2108001Z","/health","200","success","16"
"2026-08-01T09:39:28.2408468Z","/ready","200","success","30"
"2026-08-01T09:39:28.2408468Z","/health","200","success","30"
"2026-08-01T09:39:28.2562273Z","/ready","200","success","15"
"2026-08-01T09:39:28.2562273Z","/health","200","success","16"
"2026-08-01T09:39:28.2712263Z","/ready","200","success","15"
"2026-08-01T09:39:28.2712263Z","/health","200","success","15"
"2026-08-01T09:39:28.2862490Z","/ready","200","success","14"
"2026-08-01T09:39:28.2862490Z","/health","200","success","15"
"2026-08-01T09:39:28.3012491Z","/ready","200","success","15"
"2026-08-01T09:39:28.3012491Z","/health","200","success","15"
"2026-08-01T09:39:28.3167888Z","/ready","200","success","15"
"2026-08-01T09:39:28.3167888Z","/health","200","success","16"
"2026-08-01T09:39:28.3317888Z","/ready","200","success","15"
"2026-08-01T09:39:28.3317888Z","/health","200","success","15"
"2026-08-01T09:39:28.3472160Z","/ready","200","success","15"
"2026-08-01T09:39:28.3472160Z","/health","200","success","15"
"2026-08-01T09:39:28.3621951Z","/ready","200","success","15"
"2026-08-01T09:39:28.3621951Z","/health","200","success","15"
"2026-08-01T09:39:28.3781942Z","/ready","200","success","16"
"2026-08-01T09:39:28.3781942Z","/health","200","success","16"
"2026-08-01T09:39:28.3931944Z","/ready","200","success","15"
"2026-08-01T09:39:28.3931944Z","/health","200","success","15"
"2026-08-01T09:39:28.4081948Z","/ready","200","success","15"
"2026-08-01T09:39:28.4081948Z","/health","200","success","15"
"2026-08-01T09:39:28.4231943Z","/ready","200","success","15"
"2026-08-01T09:39:28.4231943Z","/health","200","success","15"
"2026-08-01T09:39:28.4381943Z","/ready","200","success","15"
"2026-08-01T09:39:28.4381943Z","/health","200","success","15"
"2026-08-01T09:39:28.4531941Z","/ready","200","success","15"
"2026-08-01T09:39:28.4531941Z","/health","200","success","15"
"2026-08-01T09:39:28.4691943Z","/ready","200","success","15"
"2026-08-01T09:39:28.4691943Z","/health","200","success","16"
"2026-08-01T09:39:28.4841944Z","/ready","200","success","15"
"2026-08-01T09:39:28.4841944Z","/health","200","success","15"
"2026-08-01T09:39:28.4991943Z","/ready","200","success","15"
"2026-08-01T09:39:28.4991943Z","/health","200","success","15"
"2026-08-01T09:39:28.5151958Z","/ready","200","success","16"
"2026-08-01T09:39:28.5151958Z","/health","200","success","16"
"2026-08-01T09:39:28.5301947Z","/ready","200","success","15"
"2026-08-01T09:39:28.5301947Z","/health","200","success","15"
"2026-08-01T09:39:28.5451948Z","/ready","200","success","15"
